City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Manzil Salim,35.8567,8.4765,37.92,67,89,14.41,overcast clouds
239,Port-Gentil,-0.7193,8.7815,80.56,94,40,3.44,light rain
240,Maieru,47.4,24.75,37.89,94,98,4.85,overcast clouds
241,Vikindu,-7.0067,39.2985,76.32,90,100,6.11,light rain
242,Ankpa,7.3706,7.6253,78.35,19,91,1.05,overcast clouds
243,Belaya Gora,68.5333,146.4167,-48.35,100,98,2.44,overcast clouds
244,Hofn,64.2539,-15.2082,34.86,59,5,22.88,clear sky
245,Rawson,-43.3002,-65.1023,62.15,64,18,15.39,few clouds
246,Agadir,30.4202,-9.5982,50.45,62,0,5.86,clear sky
247,Marawi,7.9986,124.2928,66.92,98,100,2.75,overcast clouds
248,Matagami,49.7502,-77.6328,24.91,93,100,3.44,light snow
249,Mehamn,71.0357,27.8492,39.15,70,89,23.02,overcast clouds
250,Olafsvik,64.8945,-23.7142,32.07,53,21,31.5,few clouds
251,Brae,60.3964,-1.353,46.71,92,100,11.9,overcast clouds
252,Manadhoo,5.7667,73.3833,80.08,76,98,11.74,overcast clouds
253,Erzin,36.9559,36.2,51.89,62,0,6.04,clear sky
254,Bud,39.447,-86.1758,34.9,95,100,7.2,overcast clouds
255,Opuwo,-18.0607,13.84,68.31,74,96,5.21,overcast clouds
256,Sitka,57.0531,-135.33,37.29,87,100,25.32,moderate rain
257,Canete,-37.8,-73.4,66.11,68,5,6.44,clear sky
258,Dalvik,65.9702,-18.5286,28.33,66,97,34.36,light snow
259,Aginskoye,51.1,114.53,-22.49,77,99,16.42,overcast clouds
260,Cayenne,4.9333,-52.3333,78.84,83,75,8.05,broken clouds
261,Hailar,49.2,119.7,-45.0,100,69,3.87,broken clouds
262,Chantada,42.6088,-7.7712,30.9,94,36,3.67,scattered clouds
263,Buchanan,5.8808,-10.0467,78.51,86,100,8.21,overcast clouds
264,Lavrentiya,65.5833,-171.0,-20.56,93,61,11.3,broken clouds
265,Vodnyy,63.5046,53.4095,10.54,97,99,6.2,overcast clouds
266,Alghero,40.5589,8.3181,37.49,100,20,2.3,few clouds
267,Ixtapa,20.7,-105.2,76.23,78,75,9.22,broken clouds
268,Komsomolskiy,40.4272,71.7189,20.12,86,96,4.61,mist
269,Inta,66.0317,60.1659,19.83,94,100,16.17,overcast clouds
270,Hornepayne,49.2138,-84.7705,22.48,92,100,3.91,overcast clouds
271,Alofi,-19.0595,-169.9187,80.35,76,58,9.42,broken clouds
272,Trairi,-3.2778,-39.2689,78.42,82,23,7.58,few clouds
273,Jiaojiang,28.6803,121.4428,48.0,90,100,5.68,overcast clouds
274,Esterhazy,50.65,-102.0843,29.25,88,100,12.21,overcast clouds
275,Dingle,10.9995,122.6711,73.72,94,100,8.72,overcast clouds
276,Mount Pleasant,32.7941,-79.8626,62.01,98,100,12.66,light intensity drizzle
